Brand,ID,Type,Branch Name,Town,Postcode,Lat,Long,MonOp,MonCls,TueOp,TueCls,WedOp,WedCls,ThuOp,ThuCls,FriOp,FriCls,SatOp,SatCls,SunOp,SunCls
Lloyds Bank,77857600,Physical,Chelmsley Wood,Chelmsley Wood,B37 5TS,52.480306,-1.739632,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,13:00,,
Lloyds Bank,77852700,Physical,Kitts Green,Kitts Green,B33 9SH,52.482581,-1.778688,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,
Lloyds Bank,77210400,Physical,Corby,Corby,NN17 1PB,52.487724,-0.700702,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,,,,
Lloyds Bank,77856500,Physical,Ward End,None,B8 2DP,52.494188,-1.81838,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,13:00,,
Lloyds Bank,30145100,Physical,Kingswinford,Kingswinford,DY6 8AE,52.49728,-2.167574,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,,,,
Lloyds Bank,77855000,Physical,Castle Bromwich,Castle Bromwich,B36 0JG,52.501616,-1.762559,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,,,,
Lloyds Bank,77852000,Physical,Handsworth,Handsworth,B21 9LN,52.503235,-1.932843,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,13:00,,
Lloyds Bank,77330500,Physical,Dudley,Dudley,DY1 1PY,52.509186,-2.084787,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,13:00,,
Lloyds Bank,30993600,Physical,West Bromwich,West Bromwich,B70 8NA,52.519443,-1.994977,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,13:00,,
Lloyds Bank,30847900,Physical,Nuneaton,Nuneaton,CV11 5TD,52.522172,-1.468211,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,13:00,,
Lloyds Bank,77851600,Physical,Erdington,Erdington,B23 6SZ,52.522974,-1.841107,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,15:00,,
Lloyds Bank,77270400,Physical,Bridgnorth,Bridgnorth,WV16 4DN,52.536552,-2.420516,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,,,,
Lloyds Bank,77151500,Physical,Hinckley,Hinckley,LE10 1NL,52.541998,-1.373168,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,,,,
Lloyds Bank,77721400,Physical,March,March,PE15 9JE,52.54943,0.08834,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,
Lloyds Bank,77852600,Physical,Kingstanding,Kingstanding,B44 9TB,52.551212,-1.884331,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,,,,
Lloyds Bank,77310300,Physical,Wednesbury,Wednesbury,WS10 9BY,52.553367,-2.018403,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,,,,,,
Lloyds Bank,77856300,Physical,Sutton Coldfield,Sutton Coldfield,B72 1QA,52.559421,-1.825807,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,13:00,,
Lloyds Bank,77330200,Physical,Bilston,Bilston,WV14 0BJ,52.565414,-2.078118,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,13:00,,
Lloyds Bank,77661400,Physical,Wymondham,Wymondham,NR18 0AG,52.570458,1.113386,09:00,15:00,09:00,15:00,,,09:00,15:00,09:00,15:00,,,,
